Parameter,Value,Num llamas,Num Predators,Average Sheep Alive
Cohesion,2.0,3.0,3.0,96.4
Cohesion,2.0,3.0,4.0,93.4
Cohesion,2.0,3.0,5.0,91.0
Cohesion,2.0,4.0,1.0,100.0
Cohesion,2.0,4.0,2.0,98.0
Cohesion,2.0,4.0,3.0,96.6
Cohesion,2.0,4.0,4.0,92.0
Cohesion,2.0,4.0,5.0,90.8
Cohesion,2.0,5.0,1.0,100.0
Cohesion,2.0,5.0,2.0,98.8
Cohesion,2.0,5.0,3.0,98.2
Cohesion,2.0,5.0,4.0,93.4
Cohesion,2.0,5.0,5.0,91.0
Defend,0.0,1.0,1.0,95.6
Defend,0.0,1.0,2.0,94.2
Defend,0.0,1.0,3.0,88.0
Defend,0.0,1.0,4.0,88.8
Defend,0.0,1.0,5.0,80.6
Defend,0.0,2.0,1.0,96.4
Defend,0.0,2.0,2.0,94.6
Defend,0.0,2.0,3.0,89.6
Defend,0.0,2.0,4.0,86.4
Defend,0.0,2.0,5.0,83.2
Defend,0.0,3.0,1.0,97.4
Defend,0.0,3.0,2.0,93.2
Defend,0.0,3.0,3.0,90.4
Defend,0.0,3.0,4.0,87.4
Defend,0.0,3.0,5.0,86.2
Defend,0.0,4.0,1.0,96.6
Defend,0.0,4.0,2.0,94.0
Defend,0.0,4.0,3.0,92.0
Defend,0.0,4.0,4.0,85.6
Defend,0.0,4.0,5.0,83.2
Defend,0.0,5.0,1.0,96.8
Defend,0.0,5.0,2.0,96.0
Defend,0.0,5.0,3.0,89.8
Defend,0.0,5.0,4.0,87.4
Defend,0.0,5.0,5.0,86.6
Defend,1.0,1.0,1.0,97.0
Defend,1.0,1.0,2.0,95.2
Defend,1.0,1.0,3.0,91.8
Defend,1.0,1.0,4.0,88.4
Defend,1.0,1.0,5.0,83.8
Defend,1.0,2.0,1.0,97.2
Defend,1.0,2.0,2.0,95.4
Defend,1.0,2.0,3.0,92.6
Defend,1.0,2.0,4.0,89.6
Defend,1.0,2.0,5.0,86.8
Defend,1.0,3.0,1.0,98.8
Defend,1.0,3.0,2.0,95.6
Defend,1.0,3.0,3.0,95.0
Defend,1.0,3.0,4.0,89.2
Defend,1.0,3.0,5.0,87.8
Defend,1.0,4.0,1.0,99.2
Defend,1.0,4.0,2.0,98.0
Defend,1.0,4.0,3.0,93.8
Defend,1.0,4.0,4.0,92.2
Defend,1.0,4.0,5.0,87.8
Defend,1.0,5.0,1.0,99.4
Defend,1.0,5.0,2.0,96.4
Defend,1.0,5.0,3.0,96.2
Defend,1.0,5.0,4.0,94.0
Defend,1.0,5.0,5.0,92.8
Defend,2.0,1.0,1.0,98.0
Defend,2.0,1.0,2.0,95.0
Defend,2.0,1.0,3.0,93.0
Defend,2.0,1.0,4.0,89.0
Defend,2.0,1.0,5.0,84.8
Defend,2.0,2.0,1.0,97.8
Defend,2.0,2.0,2.0,96.6
Defend,2.0,2.0,3.0,93.6
Defend,2.0,2.0,4.0,90.2
Defend,2.0,2.0,5.0,90.0
Defend,2.0,3.0,1.0,99.2
Defend,2.0,3.0,2.0,98.0
Defend,2.0,3.0,3.0,94.6
Defend,2.0,3.0,4.0,91.0
Defend,2.0,3.0,5.0,92.0
Defend,2.0,4.0,1.0,99.6
Defend,2.0,4.0,2.0,98.4
Defend,2.0,4.0,3.0,96.2
Defend,2.0,4.0,4.0,93.4
Defend,2.0,4.0,5.0,91.8
Defend,2.0,5.0,1.0,99.6
Defend,2.0,5.0,2.0,98.8
Defend,2.0,5.0,3.0,97.0
Defend,2.0,5.0,4.0,95.5
Defend,2.0,5.0,5.0,93.6
Defend,3.0,1.0,1.0,98.8
Defend,3.0,1.0,2.0,97.0
Defend,3.0,1.0,3.0,92.2
Defend,3.0,1.0,4.0,88.2
Defend,3.0,1.0,5.0,83.6
Defend,3.0,2.0,1.0,99.4
Defend,3.0,2.0,2.0,95.6
Defend,3.0,2.0,3.0,93.4
Defend,3.0,2.0,4.0,90.4
Defend,3.0,2.0,5.0,90.2
Defend,3.0,3.0,1.0,99.2
Defend,3.0,3.0,2.0,98.4
Defend,3.0,3.0,3.0,95.0
Defend,3.0,3.0,4.0,95.8
Defend,3.0,3.0,5.0,92.0
Defend,3.0,4.0,1.0,99.2
Defend,3.0,4.0,2.0,98.2
Defend,3.0,4.0,3.0,96.2
Defend,3.0,4.0,4.0,92.2
Defend,3.0,4.0,5.0,91.6
Defend,3.0,5.0,1.0,100.0
Defend,3.0,5.0,2.0,98.6
Defend,3.0,5.0,3.0,98.6
Defend,3.0,5.0,4.0,93.6
Defend,3.0,5.0,5.0,88.8
Defend,4.0,1.0,1.0,97.6
Defend,4.0,1.0,2.0,96.6
Defend,4.0,1.0,3.0,95.0
Defend,4.0,1.0,4.0,87.8
Defend,4.0,1.0,5.0,88.6
Defend,4.0,2.0,1.0,99.6
Defend,4.0,2.0,2.0,96.6
Defend,4.0,2.0,3.0,93.0
Defend,4.0,2.0,4.0,91.8
Defend,4.0,2.0,5.0,88.8
Defend,4.0,3.0,1.0,98.6
Defend,4.0,3.0,2.0,99.2
Defend,4.0,3.0,3.0,95.2
Defend,4.0,3.0,4.0,93.0
Defend,4.0,3.0,5.0,88.4
Defend,4.0,4.0,1.0,99.8
Defend,4.0,4.0,2.0,98.4
Defend,4.0,4.0,3.0,95.2
Defend,4.0,4.0,4.0,95.8
Defend,4.0,4.0,5.0,90.6
Defend,4.0,5.0,1.0,99.4
Defend,4.0,5.0,2.0,99.0
Defend,4.0,5.0,3.0,97.8
Defend,4.0,5.0,4.0,93.8
Defend,4.0,5.0,5.0,93.5
Defend,5.0,1.0,1.0,99.4
Defend,5.0,1.0,2.0,96.6
Defend,5.0,1.0,3.0,91.8
Defend,5.0,1.0,4.0,90.2
Defend,5.0,1.0,5.0,87.0
Defend,5.0,2.0,1.0,99.6
Defend,5.0,2.0,2.0,96.6
Defend,5.0,2.0,3.0,95.6
Defend,5.0,2.0,4.0,91.4
Defend,5.0,2.0,5.0,88.6
Defend,5.0,3.0,1.0,99.6
Defend,5.0,3.0,2.0,97.6
Defend,5.0,3.0,3.0,96.8
Defend,5.0,3.0,4.0,95.0
Defend,5.0,3.0,5.0,92.4
Defend,5.0,4.0,1.0,100.0
Defend,5.0,4.0,2.0,98.2
Defend,5.0,4.0,3.0,97.2
Defend,5.0,4.0,4.0,96.2
Defend,5.0,4.0,5.0,90.8
Defend,5.0,5.0,1.0,99.8
Defend,5.0,5.0,2.0,99.0
Defend,5.0,5.0,3.0,96.0
Defend,5.0,5.0,4.0,94.2
Defend,5.0,5.0,5.0,91.6
Defend,6.0,1.0,1.0,99.0
Defend,6.0,1.0,2.0,96.4
Defend,6.0,1.0,3.0,93.8
Defend,6.0,1.0,4.0,91.8
Defend,6.0,1.0,5.0,88.8
Defend,6.0,2.0,1.0,99.8
Defend,6.0,2.0,2.0,98.8
Defend,6.0,2.0,3.0,96.6
Defend,6.0,2.0,4.0,94.6
Defend,6.0,2.0,5.0,90.0
Defend,6.0,3.0,1.0,100.0
Defend,6.0,3.0,2.0,98.6
Defend,6.0,3.0,3.0,96.4
Defend,6.0,3.0,4.0,94.0
Defend,6.0,3.0,5.0,90.8
Defend,6.0,4.0,1.0,100.0
Defend,6.0,4.0,2.0,99.4
Defend,6.0,4.0,3.0,95.0
Defend,6.0,4.0,4.0,93.2
Defend,6.0,4.0,5.0,90.6
Defend,6.0,5.0,1.0,100.0
Defend,6.0,5.0,2.0,100.0
Defend,6.0,5.0,3.0,98.2
Defend,6.0,5.0,4.0,94.4
Defend,6.0,5.0,5.0,93.6
Separation,0.0,1.0,1.0,99.6
Separation,0.0,1.0,2.0,97.4
Separation,0.0,1.0,3.0,95.6
Separation,0.0,1.0,4.0,90.2
Separation,0.0,1.0,5.0,89.6
Separation,0.0,2.0,1.0,99.8
Separation,0.0,2.0,2.0,98.8
Separation,0.0,2.0,3.0,97.6
Separation,0.0,2.0,4.0,93.4
Separation,0.0,2.0,5.0,89.8
Separation,0.0,3.0,1.0,99.8
Separation,0.0,3.0,2.0,99.4
Separation,0.0,3.0,3.0,96.8
Separation,0.0,3.0,4.0,96.8
Separation,0.0,3.0,5.0,93.2
Separation,0.0,4.0,1.0,100.0
Separation,0.0,4.0,2.0,98.0
Separation,0.0,4.0,3.0,98.0
Separation,0.0,4.0,4.0,93.4
Separation,0.0,4.0,5.0,89.4
Separation,0.0,5.0,1.0,99.8
Separation,0.0,5.0,2.0,99.0
Separation,0.0,5.0,3.0,97.6
Separation,0.0,5.0,4.0,95.0
Separation,0.0,5.0,5.0,93.4
Separation,1.0,1.0,1.0,100.0
Separation,1.0,1.0,2.0,96.8
Separation,1.0,1.0,3.0,93.6
Separation,1.0,1.0,4.0,89.0
Separation,1.0,1.0,5.0,89.2
Separation,1.0,2.0,1.0,99.2
Separation,1.0,2.0,2.0,98.2
Separation,1.0,2.0,3.0,96.2
Separation,1.0,2.0,4.0,91.4
Separation,1.0,2.0,5.0,87.0
Separation,1.0,3.0,1.0,100.0
Separation,1.0,3.0,2.0,99.0
Separation,1.0,3.0,3.0,95.0
Separation,1.0,3.0,4.0,94.4
Separation,1.0,3.0,5.0,90.0
Separation,1.0,4.0,1.0,100.0
Separation,1.0,4.0,2.0,99.6
Separation,1.0,4.0,3.0,95.8
Separation,1.0,4.0,4.0,94.8
Separation,1.0,4.0,5.0,94.0
Separation,1.0,5.0,1.0,100.0
Separation,1.0,5.0,2.0,99.6
Separation,1.0,5.0,3.0,97.4
Separation,1.0,5.0,4.0,94.8
Separation,1.0,5.0,5.0,93.8
Separation,2.0,1.0,1.0,99.4
Separation,2.0,1.0,2.0,96.2
Separation,2.0,1.0,3.0,94.4
Separation,2.0,1.0,4.0,93.0
Separation,2.0,1.0,5.0,85.0
Separation,2.0,2.0,1.0,99.8
Separation,2.0,2.0,2.0,98.2
Separation,2.0,2.0,3.0,94.6
Separation,2.0,2.0,4.0,88.8
Separation,2.0,2.0,5.0,89.4
Separation,2.0,3.0,1.0,100.0
Separation,2.0,3.0,2.0,97.4
Separation,2.0,3.0,3.0,96.4
Separation,2.0,3.0,4.0,94.4
Separation,2.0,3.0,5.0,90.8
Separation,2.0,4.0,1.0,99.6
Separation,2.0,4.0,2.0,98.8
Separation,2.0,4.0,3.0,97.4
Separation,2.0,4.0,4.0,94.0
Separation,2.0,4.0,5.0,90.8
Separation,2.0,5.0,1.0,99.6
Separation,2.0,5.0,2.0,99.8
Separation,2.0,5.0,3.0,96.8
Separation,2.0,5.0,4.0,92.0
Separation,2.0,5.0,5.0,94.6
Separation,3.0,1.0,1.0,98.2
Separation,3.0,1.0,2.0,95.2
Separation,3.0,1.0,3.0,93.6
Separation,3.0,1.0,4.0,90.4
Separation,3.0,1.0,5.0,84.8
Separation,3.0,2.0,1.0,99.8
Separation,3.0,2.0,2.0,96.8
Separation,3.0,2.0,3.0,95.4
Separation,3.0,2.0,4.0,92.8
Separation,3.0,2.0,5.0,91.4
Separation,3.0,3.0,1.0,99.6
Separation,3.0,3.0,2.0,98.0
Separation,3.0,3.0,3.0,94.8
Separation,3.0,3.0,4.0,93.0
Separation,3.0,3.0,5.0,89.6
Separation,3.0,4.0,1.0,99.8
Separation,3.0,4.0,2.0,98.6
Separation,3.0,4.0,3.0,97.6
Separation,3.0,4.0,4.0,94.8
Separation,3.0,4.0,5.0,92.2
Separation,3.0,5.0,1.0,99.8
Separation,3.0,5.0,2.0,98.4
Separation,3.0,5.0,3.0,97.2
Separation,3.0,5.0,4.0,93.2
Separation,3.0,5.0,5.0,92.2
Perception,0.0,1.0,1.0,98.0
Perception,0.0,2.0,1.0,97.0
Perception,0.0,3.0,1.0,96.4
Perception,0.0,4.0,1.0,98.2
Perception,0.0,5.0,1.0,97.0
Perception,0.0,1.0,2.0,93.2
Perception,0.0,2.0,2.0,93.2
Perception,0.0,3.0,2.0,94.0
Perception,0.0,4.0,2.0,95.6
Perception,0.0,5.0,2.0,97.8
Perception,0.0,1.0,3.0,91.0
Perception,0.0,2.0,3.0,88.4
Perception,0.0,3.0,3.0,92.2
Perception,0.0,4.0,3.0,90.0
Perception,0.0,5.0,3.0,95.4
Perception,0.0,1.0,4.0,85.0
Perception,0.0,2.0,4.0,88.6
Perception,0.0,3.0,4.0,88.8
Perception,0.0,4.0,4.0,85.8
Perception,0.0,5.0,4.0,92.0
Perception,0.0,1.0,5.0,77.4
Perception,0.0,2.0,5.0,82.6
Perception,0.0,3.0,5.0,88.2
Perception,0.0,4.0,5.0,86.0
Perception,0.0,5.0,5.0,85.0
Perception,75.0,1.0,1.0,97.8
Perception,75.0,2.0,1.0,99.0
Perception,75.0,3.0,1.0,99.4
Perception,75.0,4.0,1.0,99.8
Perception,75.0,5.0,1.0,99.6
Perception,75.0,1.0,2.0,93.2
Perception,75.0,2.0,2.0,95.8
Perception,75.0,3.0,2.0,95.2
Perception,75.0,4.0,2.0,98.0
Perception,75.0,5.0,2.0,98.6
Perception,75.0,1.0,3.0,88.2
Perception,75.0,2.0,3.0,92.2
Perception,75.0,3.0,3.0,95.4
Perception,75.0,4.0,3.0,95.0
Perception,75.0,5.0,3.0,96.6
Perception,75.0,1.0,4.0,88.2
Perception,75.0,2.0,4.0,88.4
Perception,75.0,3.0,4.0,93.0
Perception,75.0,4.0,4.0,94.0
Perception,75.0,5.0,4.0,96.0
Perception,75.0,1.0,5.0,85.8
Perception,75.0,2.0,5.0,84.4
Perception,75.0,3.0,5.0,88.4
Perception,75.0,4.0,5.0,89.6
Perception,75.0,5.0,5.0,94.8
Perception,150.0,1.0,1.0,98.2
Perception,150.0,2.0,1.0,98.4
Perception,150.0,3.0,1.0,99.6
Perception,150.0,4.0,1.0,99.8
Perception,150.0,5.0,1.0,100.0
Perception,150.0,1.0,2.0,96.2
Perception,150.0,2.0,2.0,96.2
Perception,150.0,3.0,2.0,98.8
Perception,150.0,4.0,2.0,99.0
Perception,150.0,5.0,2.0,98.6
Perception,150.0,1.0,3.0,92.6
Perception,150.0,2.0,3.0,94.2
Perception,150.0,3.0,3.0,96.4
Perception,150.0,4.0,3.0,96.4
Perception,150.0,5.0,3.0,99.2
Perception,150.0,1.0,4.0,88.4
Perception,150.0,2.0,4.0,92.0
Perception,150.0,3.0,4.0,94.8
Perception,150.0,4.0,4.0,94.4
Perception,150.0,5.0,4.0,96.4
Perception,150.0,1.0,5.0,85.0
Perception,150.0,2.0,5.0,90.2
Perception,150.0,3.0,5.0,93.2
Perception,150.0,4.0,5.0,96.8
Perception,150.0,5.0,5.0,93.4
Perception,225.0,1.0,1.0,99.2
Perception,225.0,2.0,1.0,99.6
Perception,225.0,3.0,1.0,99.8
Perception,225.0,4.0,1.0,100.0
Perception,225.0,5.0,1.0,100.0
Perception,225.0,1.0,2.0,97.2
Perception,225.0,2.0,2.0,98.2
Perception,225.0,3.0,2.0,99.6
Perception,225.0,4.0,2.0,98.8
Perception,225.0,5.0,2.0,99.6
Perception,225.0,1.0,3.0,92.8
Perception,225.0,2.0,3.0,95.4
Perception,225.0,3.0,3.0,96.4
Perception,225.0,4.0,3.0,97.0
Perception,225.0,5.0,3.0,97.4
Perception,225.0,1.0,4.0,91.0
Perception,225.0,2.0,4.0,95.0
Perception,225.0,3.0,4.0,94.6
Perception,225.0,4.0,4.0,96.2
Perception,225.0,5.0,4.0,97.6
Perception,225.0,1.0,5.0,89.2
Perception,225.0,2.0,5.0,93.6
Perception,225.0,3.0,5.0,92.2
Perception,225.0,4.0,5.0,92.6
Perception,225.0,5.0,5.0,91.8
Perception,300.0,1.0,1.0,99.0
Perception,300.0,2.0,1.0,100.0
Perception,300.0,3.0,1.0,99.8
Perception,300.0,4.0,1.0,100.0
Perception,300.0,5.0,1.0,100.0
Perception,300.0,1.0,2.0,96.6
Perception,300.0,2.0,2.0,95.6
Perception,300.0,3.0,2.0,98.8
Perception,300.0,4.0,2.0,99.0
Perception,300.0,5.0,2.0,99.2
Perception,300.0,1.0,3.0,93.2
Perception,300.0,2.0,3.0,96.0
Perception,300.0,3.0,3.0,97.4
Perception,300.0,4.0,3.0,96.4
Perception,300.0,5.0,3.0,96.6
Perception,300.0,1.0,4.0,93.2
Perception,300.0,2.0,4.0,93.2
Perception,300.0,3.0,4.0,93.2
Perception,300.0,4.0,4.0,93.6
Perception,300.0,5.0,4.0,95.4
Perception,300.0,1.0,5.0,87.2
Perception,300.0,2.0,5.0,92.8
Perception,300.0,3.0,5.0,92.8
Perception,300.0,4.0,5.0,89.0
Perception,300.0,5.0,5.0,93.2
